'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'RespondedExistence(Permit SUBMITTED by EMPLOYEE, Declaration SUBMITTED by EMPLOYEE)';'RespondedExistence';'Permit SUBMITTED by EMPLOYEE';'Declaration SUBMITTED by EMPLOYEE';0.990;0.921;0.910
'NotChainSuccession(Permit SUBMITTED by EMPLOYEE, Declaration SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Permit SUBMITTED by EMPLOYEE';'Declaration SUBMITTED by EMPLOYEE';1.000;0.931;0.920
'RespondedExistence(Permit SUBMITTED by EMPLOYEE, End trip)';'RespondedExistence';'Permit SUBMITTED by EMPLOYEE';'End trip';1.000;0.931;0.931
'NotChainSuccession(Permit SUBMITTED by EMPLOYEE, End trip)';'NotChainSuccession';'Permit SUBMITTED by EMPLOYEE';'End trip';1.000;0.930;0.930
'Response(Permit SUBMITTED by EMPLOYEE, Payment Handled)';'Response';'Permit SUBMITTED by EMPLOYEE';'Payment Handled';0.961;0.894;0.858
'NotChainSuccession(Permit SUBMITTED by EMPLOYEE, Payment Handled)';'NotChainSuccession';'Permit SUBMITTED by EMPLOYEE';'Payment Handled';1.000;0.931;0.893
'Response(Permit SUBMITTED by EMPLOYEE, Request Payment)';'Response';'Permit SUBMITTED by EMPLOYEE';'Request Payment';0.960;0.894;0.857
'NotChainSuccession(Permit SUBMITTED by EMPLOYEE, Request Payment)';'NotChainSuccession';'Permit SUBMITTED by EMPLOYEE';'Request Payment';1.000;0.931;0.892
'RespondedExistence(Permit SUBMITTED by EMPLOYEE, Start trip)';'RespondedExistence';'Permit SUBMITTED by EMPLOYEE';'Start trip';1.000;0.931;0.931
'NotChainSuccession(Permit SUBMITTED by EMPLOYEE, Start trip)';'NotChainSuccession';'Permit SUBMITTED by EMPLOYEE';'Start trip';0.998;0.928;0.928
'AtLeast1(Request Payment)';'AtLeast1';'Request Payment';;0.959;0.919;0.881
'AtMost1(Request Payment)';'AtMost1';'Request Payment';;1.000;0.959;0.919
'AlternatePrecedence(Declaration FINAL_APPROVED by SUPERVISOR, Request Payment)';'AlternatePrecedence';'Request Payment';'Declaration FINAL_APPROVED by SUPERVISOR';0.961;0.888;0.851
'AlternatePrecedence(Declaration SUBMITTED by EMPLOYEE, Request Payment)';'AlternatePrecedence';'Request Payment';'Declaration SUBMITTED by EMPLOYEE';1.000;0.989;0.948
'NotSuccession(Request Payment, Declaration APPROVED by ADMINISTRATION)';'NotSuccession';'Request Payment';'Declaration APPROVED by ADMINISTRATION';1.000;0.763;0.731
'NotSuccession(Request Payment, Declaration FINAL_APPROVED by SUPERVISOR)';'NotSuccession';'Request Payment';'Declaration FINAL_APPROVED by SUPERVISOR';1.000;0.924;0.886
'NotSuccession(Request Payment, Declaration SUBMITTED by EMPLOYEE)';'NotSuccession';'Request Payment';'Declaration SUBMITTED by EMPLOYEE';1.000;0.959;0.948
'RespondedExistence(Request Payment, End trip)';'RespondedExistence';'Request Payment';'End trip';1.000;0.959;0.959
'NotChainSuccession(Request Payment, End trip)';'NotChainSuccession';'Request Payment';'End trip';0.998;0.957;0.957
'RespondedExistence(Request Payment, Payment Handled)';'RespondedExistence';'Request Payment';'Payment Handled';1.000;0.959;0.920
'NotSuccession(Request Payment, Permit APPROVED by ADMINISTRATION)';'NotSuccession';'Request Payment';'Permit APPROVED by ADMINISTRATION';1.000;0.735;0.704
'NotSuccession(Request Payment, Permit FINAL_APPROVED by SUPERVISOR)';'NotSuccession';'Request Payment';'Permit FINAL_APPROVED by SUPERVISOR';1.000;0.832;0.798
'NotSuccession(Request Payment, Permit SUBMITTED by EMPLOYEE)';'NotSuccession';'Request Payment';'Permit SUBMITTED by EMPLOYEE';1.000;0.931;0.892
'RespondedExistence(Request Payment, Start trip)';'RespondedExistence';'Request Payment';'Start trip';1.000;0.959;0.959
'NotChainSuccession(Request Payment, Start trip)';'NotChainSuccession';'Request Payment';'Start trip';0.999;0.958;0.958
'AtLeast1(Start trip)';'AtLeast1';'Start trip';;1.000;1.000;1.000
'AtMost1(Start trip)';'AtMost1';'Start trip';;1.000;1.000;1.000
'NotChainSuccession(Start trip, Declaration APPROVED by ADMINISTRATION)';'NotChainSuccession';'Start trip';'Declaration APPROVED by ADMINISTRATION';0.999;0.762;0.762
'NotChainSuccession(Start trip, Declaration FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Start trip';'Declaration FINAL_APPROVED by SUPERVISOR';0.999;0.923;0.923
'RespondedExistence(Start trip, Declaration SUBMITTED by EMPLOYEE)';'RespondedExistence';'Start trip';'Declaration SUBMITTED by EMPLOYEE';0.989;0.989;0.977
'NotChainSuccession(Start trip, Declaration SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Start trip';'Declaration SUBMITTED by EMPLOYEE';0.981;0.970;0.970
'AlternateSuccession(Start trip, End trip)';'AlternateSuccession';'Start trip';'End trip';1.000;1.000;1.000
'RespondedExistence(Start trip, Payment Handled)';'RespondedExistence';'Start trip';'Payment Handled';0.959;0.959;0.920
'NotChainSuccession(Start trip, Payment Handled)';'NotChainSuccession';'Start trip';'Payment Handled';0.999;0.958;0.958
'NotChainSuccession(Start trip, Permit APPROVED by ADMINISTRATION)';'NotChainSuccession';'Start trip';'Permit APPROVED by ADMINISTRATION';0.999;0.734;0.734
'NotChainSuccession(Start trip, Permit FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Start trip';'Permit FINAL_APPROVED by SUPERVISOR';0.970;0.807;0.807
'NotChainSuccession(Start trip, Permit SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Start trip';'Permit SUBMITTED by EMPLOYEE';0.965;0.898;0.898
'RespondedExistence(Start trip, Request Payment)';'RespondedExistence';'Start trip';'Request Payment';0.959;0.959;0.919
'NotChainSuccession(Start trip, Request Payment)';'NotChainSuccession';'Start trip';'Request Payment';0.999;0.958;0.958
