'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AlternatePrecedence(Permit SUBMITTED by EMPLOYEE, Permit FINAL_APPROVED by DIRECTOR)';'AlternatePrecedence';'Permit FINAL_APPROVED by DIRECTOR';'Permit SUBMITTED by EMPLOYEE';1.000;0.886;0.161
'AtMost2(Permit FINAL_APPROVED by SUPERVISOR)';'AtMost2';'Permit FINAL_APPROVED by SUPERVISOR';;1.000;0.703;0.494
'RespondedExistence(Permit FINAL_APPROVED by SUPERVISOR, Payment Handled)';'RespondedExistence';'Permit FINAL_APPROVED by SUPERVISOR';'Payment Handled';0.958;0.674;0.639
'NotChainSuccession(Permit FINAL_APPROVED by SUPERVISOR, Payment Handled)';'NotChainSuccession';'Permit FINAL_APPROVED by SUPERVISOR';'Payment Handled';0.997;0.701;0.665
'NotSuccession(Permit FINAL_APPROVED by SUPERVISOR, Permit APPROVED by ADMINISTRATION)';'NotSuccession';'Permit FINAL_APPROVED by SUPERVISOR';'Permit APPROVED by ADMINISTRATION';1.000;0.703;0.522
'NotChainSuccession(Permit FINAL_APPROVED by SUPERVISOR, Permit SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Permit FINAL_APPROVED by SUPERVISOR';'Permit SUBMITTED by EMPLOYEE';1.000;0.703;0.623
'NotChainSuccession(Permit FINAL_APPROVED by SUPERVISOR, Request For Payment APPROVED by ADMINISTRATION)';'NotChainSuccession';'Permit FINAL_APPROVED by SUPERVISOR';'Request For Payment APPROVED by ADMINISTRATION';0.998;0.701;0.571
'RespondedExistence(Permit FINAL_APPROVED by SUPERVISOR, Request For Payment FINAL_APPROVED by SUPERVISOR)';'RespondedExistence';'Permit FINAL_APPROVED by SUPERVISOR';'Request For Payment FINAL_APPROVED by SUPERVISOR';0.959;0.675;0.629
'RespondedExistence(Permit FINAL_APPROVED by SUPERVISOR, Request For Payment SUBMITTED by EMPLOYEE)';'RespondedExistence';'Permit FINAL_APPROVED by SUPERVISOR';'Request For Payment SUBMITTED by EMPLOYEE';0.992;0.697;0.690
'RespondedExistence(Permit FINAL_APPROVED by SUPERVISOR, Request Payment)';'RespondedExistence';'Permit FINAL_APPROVED by SUPERVISOR';'Request Payment';0.958;0.674;0.639
'NotChainSuccession(Permit FINAL_APPROVED by SUPERVISOR, Request Payment)';'NotChainSuccession';'Permit FINAL_APPROVED by SUPERVISOR';'Request Payment';0.985;0.693;0.657
'AlternatePrecedence(Permit SUBMITTED by EMPLOYEE, Permit FINAL_APPROVED by SUPERVISOR)';'AlternatePrecedence';'Permit FINAL_APPROVED by SUPERVISOR';'Permit SUBMITTED by EMPLOYEE';1.000;0.886;0.623
'AtMost3(Permit SUBMITTED by EMPLOYEE)';'AtMost3';'Permit SUBMITTED by EMPLOYEE';;1.000;0.886;0.784
'RespondedExistence(Permit SUBMITTED by EMPLOYEE, Payment Handled)';'RespondedExistence';'Permit SUBMITTED by EMPLOYEE';'Payment Handled';0.957;0.848;0.804
'NotChainSuccession(Permit SUBMITTED by EMPLOYEE, Payment Handled)';'NotChainSuccession';'Permit SUBMITTED by EMPLOYEE';'Payment Handled';1.000;0.886;0.840
'NotChainSuccession(Permit SUBMITTED by EMPLOYEE, Request For Payment APPROVED by ADMINISTRATION)';'NotChainSuccession';'Permit SUBMITTED by EMPLOYEE';'Request For Payment APPROVED by ADMINISTRATION';1.000;0.814;0.721
'NotChainSuccession(Permit SUBMITTED by EMPLOYEE, Request For Payment FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Permit SUBMITTED by EMPLOYEE';'Request For Payment FINAL_APPROVED by SUPERVISOR';1.000;0.886;0.826
'RespondedExistence(Permit SUBMITTED by EMPLOYEE, Request For Payment SUBMITTED by EMPLOYEE)';'RespondedExistence';'Permit SUBMITTED by EMPLOYEE';'Request For Payment SUBMITTED by EMPLOYEE';0.992;0.879;0.870
'NotChainSuccession(Permit SUBMITTED by EMPLOYEE, Request For Payment SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Permit SUBMITTED by EMPLOYEE';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.886;0.876
'RespondedExistence(Permit SUBMITTED by EMPLOYEE, Request Payment)';'RespondedExistence';'Permit SUBMITTED by EMPLOYEE';'Request Payment';0.958;0.848;0.804
'NotChainSuccession(Permit SUBMITTED by EMPLOYEE, Request Payment)';'NotChainSuccession';'Permit SUBMITTED by EMPLOYEE';'Request Payment';1.000;0.886;0.840
'AtMost3(Request For Payment APPROVED by ADMINISTRATION)';'AtMost3';'Request For Payment APPROVED by ADMINISTRATION';;1.000;0.814;0.663
'Response(Request For Payment APPROVED by ADMINISTRATION, Payment Handled)';'Response';'Request For Payment APPROVED by ADMINISTRATION';'Payment Handled';0.994;0.809;0.767
'NotChainSuccession(Request For Payment APPROVED by ADMINISTRATION, Payment Handled)';'NotChainSuccession';'Request For Payment APPROVED by ADMINISTRATION';'Payment Handled';1.000;0.814;0.772
'NotChainSuccession(Request For Payment APPROVED by ADMINISTRATION, Permit APPROVED by ADMINISTRATION)';'NotChainSuccession';'Request For Payment APPROVED by ADMINISTRATION';'Permit APPROVED by ADMINISTRATION';1.000;0.742;0.604
'NotChainSuccession(Request For Payment APPROVED by ADMINISTRATION, Permit FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Request For Payment APPROVED by ADMINISTRATION';'Permit FINAL_APPROVED by SUPERVISOR';0.966;0.679;0.553
'NotChainSuccession(Request For Payment APPROVED by ADMINISTRATION, Permit SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Request For Payment APPROVED by ADMINISTRATION';'Permit SUBMITTED by EMPLOYEE';1.000;0.814;0.721
'Response(Request For Payment APPROVED by ADMINISTRATION, Request For Payment FINAL_APPROVED by SUPERVISOR)';'Response';'Request For Payment APPROVED by ADMINISTRATION';'Request For Payment FINAL_APPROVED by SUPERVISOR';0.976;0.794;0.741
'NotChainSuccession(Request For Payment APPROVED by ADMINISTRATION, Request For Payment SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Request For Payment APPROVED by ADMINISTRATION';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.814;0.806
'Response(Request For Payment APPROVED by ADMINISTRATION, Request Payment)';'Response';'Request For Payment APPROVED by ADMINISTRATION';'Request Payment';0.994;0.809;0.767
'NotChainSuccession(Request For Payment APPROVED by ADMINISTRATION, Request Payment)';'NotChainSuccession';'Request For Payment APPROVED by ADMINISTRATION';'Request Payment';1.000;0.814;0.772
'AlternatePrecedence(Request For Payment SUBMITTED by EMPLOYEE, Request For Payment APPROVED by ADMINISTRATION)';'AlternatePrecedence';'Request For Payment APPROVED by ADMINISTRATION';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.990;0.806
'AlternatePrecedence(Request For Payment APPROVED by ADMINISTRATION, Request For Payment APPROVED by BUDGET OWNER)';'AlternatePrecedence';'Request For Payment APPROVED by BUDGET OWNER';'Request For Payment APPROVED by ADMINISTRATION';1.000;0.814;0.272
'AlternatePrecedence(Request For Payment SUBMITTED by EMPLOYEE, Request For Payment APPROVED by BUDGET OWNER)';'AlternatePrecedence';'Request For Payment APPROVED by BUDGET OWNER';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.990;0.331
'AtMost1(Request For Payment FINAL_APPROVED by SUPERVISOR)';'AtMost1';'Request For Payment FINAL_APPROVED by SUPERVISOR';;1.000;0.933;0.870
'AlternateResponse(Request For Payment FINAL_APPROVED by SUPERVISOR, Payment Handled)';'AlternateResponse';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Payment Handled';0.996;0.929;0.881
'NotChainSuccession(Request For Payment FINAL_APPROVED by SUPERVISOR, Payment Handled)';'NotChainSuccession';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Payment Handled';0.999;0.932;0.884
'NotChainSuccession(Request For Payment FINAL_APPROVED by SUPERVISOR, Permit APPROVED by ADMINISTRATION)';'NotChainSuccession';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Permit APPROVED by ADMINISTRATION';1.000;0.742;0.692
'NotChainSuccession(Request For Payment FINAL_APPROVED by SUPERVISOR, Permit FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Permit FINAL_APPROVED by SUPERVISOR';0.985;0.693;0.646
'NotChainSuccession(Request For Payment FINAL_APPROVED by SUPERVISOR, Permit SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Permit SUBMITTED by EMPLOYEE';1.000;0.886;0.826
'NotSuccession(Request For Payment FINAL_APPROVED by SUPERVISOR, Request For Payment APPROVED by ADMINISTRATION)';'NotSuccession';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Request For Payment APPROVED by ADMINISTRATION';1.000;0.814;0.760
'NotSuccession(Request For Payment FINAL_APPROVED by SUPERVISOR, Request For Payment SUBMITTED by EMPLOYEE)';'NotSuccession';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.933;0.923
'AlternateResponse(Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment)';'AlternateResponse';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Request Payment';0.996;0.929;0.881
'AlternatePrecedence(Request For Payment SUBMITTED by EMPLOYEE, Request For Payment FINAL_APPROVED by SUPERVISOR)';'AlternatePrecedence';'Request For Payment FINAL_APPROVED by SUPERVISOR';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.990;0.923
'AtLeast1(Request For Payment SUBMITTED by EMPLOYEE)';'AtLeast1';'Request For Payment SUBMITTED by EMPLOYEE';;0.990;0.979;0.969
'AtMost3(Request For Payment SUBMITTED by EMPLOYEE)';'AtMost3';'Request For Payment SUBMITTED by EMPLOYEE';;0.999;0.989;0.978
'Response(Request For Payment SUBMITTED by EMPLOYEE, Payment Handled)';'Response';'Request For Payment SUBMITTED by EMPLOYEE';'Payment Handled';0.959;0.949;0.899
'NotChainSuccession(Request For Payment SUBMITTED by EMPLOYEE, Payment Handled)';'NotChainSuccession';'Request For Payment SUBMITTED by EMPLOYEE';'Payment Handled';1.000;0.948;0.938
'NotChainSuccession(Request For Payment SUBMITTED by EMPLOYEE, Permit APPROVED by ADMINISTRATION)';'NotChainSuccession';'Request For Payment SUBMITTED by EMPLOYEE';'Permit APPROVED by ADMINISTRATION';1.000;0.742;0.734
'NotChainSuccession(Request For Payment SUBMITTED by EMPLOYEE, Permit FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Request For Payment SUBMITTED by EMPLOYEE';'Permit FINAL_APPROVED by SUPERVISOR';0.996;0.701;0.693
'NotChainSuccession(Request For Payment SUBMITTED by EMPLOYEE, Permit SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Request For Payment SUBMITTED by EMPLOYEE';'Permit SUBMITTED by EMPLOYEE';1.000;0.886;0.876
'Response(Request For Payment SUBMITTED by EMPLOYEE, Request Payment)';'Response';'Request For Payment SUBMITTED by EMPLOYEE';'Request Payment';0.959;0.949;0.899
'NotChainSuccession(Request For Payment SUBMITTED by EMPLOYEE, Request Payment)';'NotChainSuccession';'Request For Payment SUBMITTED by EMPLOYEE';'Request Payment';1.000;0.948;0.938
'AtMost1(Request Payment)';'AtMost1';'Request Payment';;1.000;0.948;0.899
'AlternatePrecedence(Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment)';'AlternatePrecedence';'Request Payment';'Request For Payment FINAL_APPROVED by SUPERVISOR';0.980;0.914;0.867
'AlternatePrecedence(Request For Payment SUBMITTED by EMPLOYEE, Request Payment)';'AlternatePrecedence';'Request Payment';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.990;0.938
'CoExistence(Request Payment, Payment Handled)';'CoExistence';'Request Payment';'Payment Handled';0.999;0.948;0.898
'NotChainSuccession(Request Payment, Permit APPROVED by ADMINISTRATION)';'NotChainSuccession';'Request Payment';'Permit APPROVED by ADMINISTRATION';1.000;0.742;0.704
'NotChainSuccession(Request Payment, Permit FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Request Payment';'Permit FINAL_APPROVED by SUPERVISOR';0.998;0.702;0.665
'NotChainSuccession(Request Payment, Permit SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Request Payment';'Permit SUBMITTED by EMPLOYEE';1.000;0.886;0.840
'NotSuccession(Request Payment, Request For Payment APPROVED by ADMINISTRATION)';'NotSuccession';'Request Payment';'Request For Payment APPROVED by ADMINISTRATION';1.000;0.814;0.772
'NotSuccession(Request Payment, Request For Payment FINAL_APPROVED by SUPERVISOR)';'NotSuccession';'Request Payment';'Request For Payment FINAL_APPROVED by SUPERVISOR';1.000;0.933;0.884
'NotSuccession(Request Payment, Request For Payment SUBMITTED by EMPLOYEE)';'NotSuccession';'Request Payment';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.948;0.938
